real, image
-0.472727, -0.000000
-0.472727, 0.045455
-0.472727, 0.090909
-0.472727, 0.136364
-0.472727, 0.181818
-0.472727, 0.227273
-0.472727, 0.272727
-0.472727, 0.318182
-0.472727, 0.363636
-0.472727, 0.409091
-0.472727, 0.454545
-0.472727, 0.500000
-0.472727, 0.545455
-0.459091, -0.545455
-0.459091, -0.500000
-0.459091, -0.454545
-0.459091, -0.409091
-0.459091, -0.363636
-0.459091, -0.318182
-0.459091, -0.272727
-0.459091, -0.227273
-0.459091, -0.181818
-0.459091, -0.136364
-0.459091, -0.090909
-0.459091, -0.045455
-0.459091, -0.000000
-0.459091, 0.045455
-0.459091, 0.090909
-0.459091, 0.136364
-0.459091, 0.181818
-0.459091, 0.227273
-0.459091, 0.272727
-0.459091, 0.318182
-0.459091, 0.363636
-0.459091, 0.409091
-0.459091, 0.454545
-0.459091, 0.500000
-0.459091, 0.545455
-0.445455, -0.545455
-0.445455, -0.500000
-0.445455, -0.454545
-0.445455, -0.409091
-0.445455, -0.363636
-0.445455, -0.318182
-0.445455, -0.272727
-0.445455, -0.227273
-0.445455, -0.181818
-0.445455, -0.136364
-0.445455, -0.090909
-0.445455, -0.045455
-0.445455, -0.000000
-0.445455, 0.045455
-0.445455, 0.090909
-0.445455, 0.136364
-0.445455, 0.181818
-0.445455, 0.227273
-0.445455, 0.272727
-0.445455, 0.318182
-0.445455, 0.363636
-0.445455, 0.409091
-0.445455, 0.454545
-0.445455, 0.500000
-0.445455, 0.545455
-0.431818, -0.545455
-0.431818, -0.500000
-0.431818, -0.454545
-0.431818, -0.409091
-0.431818, -0.363636
-0.431818, -0.318182
-0.431818, -0.272727
-0.431818, -0.227273
-0.431818, -0.181818
-0.431818, -0.136364
-0.431818, -0.090909
-0.431818, -0.045455
-0.431818, -0.000000
-0.431818, 0.045455
-0.431818, 0.090909
-0.431818, 0.136364
-0.431818, 0.181818
-0.431818, 0.227273
-0.431818, 0.272727
-0.431818, 0.318182
-0.431818, 0.363636
-0.431818, 0.409091
-0.431818, 0.454545
-0.431818, 0.500000
-0.431818, 0.545455
-0.418182, -0.545455
-0.418182, -0.500000
-0.418182, -0.454545
-0.418182, -0.409091
-0.418182, -0.363636
-0.418182, -0.318182
-0.418182, -0.272727
-0.418182, -0.227273
-0.418182, -0.181818
-0.418182, -0.136364
-0.418182, -0.090909
-0.418182, -0.045455
-0.418182, -0.000000
-0.418182, 0.045455
-0.418182, 0.090909
-0.418182, 0.136364
-0.418182, 0.181818
-0.418182, 0.227273
-0.418182, 0.272727
-0.418182, 0.318182
-0.418182, 0.363636
-0.418182, 0.409091
-0.418182, 0.454545
-0.418182, 0.500000
-0.418182, 0.545455
-0.404545, -0.545455
-0.404545, -0.500000
-0.404545, -0.454545
-0.404545, -0.409091
-0.404545, -0.363636
-0.404545, -0.318182
-0.404545, -0.272727
-0.404545, -0.227273
-0.404545, -0.181818
-0.404545, -0.136364
-0.404545, -0.090909
-0.404545, -0.045455
-0.404545, -0.000000
-0.404545, 0.045455
-0.404545, 0.090909
-0.404545, 0.136364
-0.404545, 0.181818
-0.404545, 0.227273
-0.404545, 0.272727
-0.404545, 0.318182
-0.404545, 0.363636
-0.404545, 0.409091
-0.404545, 0.454545
-0.404545, 0.500000
-0.404545, 0.545455
-0.390909, -0.545455
-0.390909, -0.500000
-0.390909, -0.454545
-0.390909, -0.409091
-0.390909, -0.363636
-0.390909, -0.318182
-0.390909, -0.272727
-0.390909, -0.227273
-0.390909, -0.181818
-0.390909, -0.136364
-0.390909, -0.090909
-0.390909, -0.045455
-0.390909, -0.000000
-0.390909, 0.045455
-0.390909, 0.090909
-0.390909, 0.136364
-0.390909, 0.181818
-0.390909, 0.227273
-0.390909, 0.272727
-0.390909, 0.318182
-0.390909, 0.363636
-0.390909, 0.409091
-0.390909, 0.454545
-0.390909, 0.500000
-0.390909, 0.545455
-0.377273, -0.590909
-0.377273, -0.545455
-0.377273, -0.500000
-0.377273, -0.454545
-0.377273, -0.409091
-0.377273, -0.363636
-0.377273, -0.318182
-0.377273, -0.272727
-0.377273, -0.227273
-0.377273, -0.181818
-0.377273, -0.136364
-0.377273, -0.090909
-0.377273, -0.045455
-0.377273, -0.000000
-0.377273, 0.045455
-0.377273, 0.090909
-0.377273, 0.136364
-0.377273, 0.181818
-0.377273, 0.227273
-0.377273, 0.272727
-0.377273, 0.318182
-0.377273, 0.363636
-0.377273, 0.409091
-0.377273, 0.454545
-0.377273, 0.500000
-0.377273, 0.545455
-0.377273, 0.590909
-0.363636, -0.636364
-0.363636, -0.590909
-0.363636, -0.545455
-0.363636, -0.500000
-0.363636, -0.454545
-0.363636, -0.409091
-0.363636, -0.363636
-0.363636, -0.318182
-0.363636, -0.272727
-0.363636, -0.227273
-0.363636, -0.181818
